draw_id,draw_label,s
1,b1,2.173598
2,b2,2.1663648
3,b3,2.1899425
4,b4,2.1992994
5,b5,2.1805873
6,b6,2.1938703
7,b7,2.1880311
8,b8,2.2133404
9,b9,2.195579
10,b10,2.2100921
11,b11,2.1774057
12,b12,2.2220341
13,b13,2.1948803
14,b14,2.2369972
15,b15,2.2402128
16,b16,2.1992699
17,b17,2.2441866
18,b18,2.222335
19,b19,2.265522
20,b20,2.2489348
21,b21,2.2396954
22,b22,2.2498657
23,b23,2.2805847
24,b24,2.2443713
25,b25,2.2404358
26,b26,2.2721087
27,b27,2.2711763
28,b28,2.2670821
29,b29,2.2957151
30,b30,2.2704902
31,b31,2.301508
32,b32,2.3038661
33,b33,2.3232142
34,b34,2.2667451
35,b35,2.2735484
36,b36,2.309986
37,b37,2.3221856
38,b38,2.3074501
39,b39,2.2789326
40,b40,2.338629
41,b41,2.3314644
42,b42,2.3184682
43,b43,2.3133794
44,b44,2.3333
45,b45,2.3368183
46,b46,2.3607427
47,b47,2.3687349
48,b48,2.3722489
49,b49,2.381647
50,b50,2.3318272
51,b51,2.3908853
52,b52,2.4094731
53,b53,2.3695713
54,b54,2.4073239
55,b55,2.4124903
56,b56,2.3909101
57,b57,2.4205208
58,b58,2.3782259
59,b59,2.3963355
60,b60,2.4154621
61,b61,2.3893822
62,b62,2.4443561
63,b63,2.4474444
64,b64,2.4019467
65,b65,2.4481568
66,b66,2.4750558
67,b67,2.4284091
68,b68,2.4478658
69,b69,2.479149
70,b70,2.4871253
71,b71,2.45009
72,b72,2.4823401
73,b73,2.4804226
74,b74,2.5100872
75,b75,2.459044
76,b76,2.4968364
77,b77,2.5266253
78,b78,2.4831637
79,b79,2.4991363
80,b80,2.4909287
81,b81,2.5153477
82,b82,2.5051435
83,b83,2.4970014
84,b84,2.4741311
85,b85,2.5408036
86,b86,2.5306592
87,b87,2.4922776
88,b88,2.5677135
89,b89,2.5108564
90,b90,2.520223
91,b91,2.520549
92,b92,2.5685331
93,b93,2.5308879
94,b94,2.552912
95,b95,2.534654
96,b96,2.515161
97,b97,2.6019177
98,b98,2.5285921
99,b99,2.5941647
100,b100,2.6073076
